Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume
1,1.42,3.4,6.67,1.0,2.73,1.85,10.0,3.8
2,2.36,1.56,2.0,1.0,1.36,2.36,10.0,1.93
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.51,3.0,1.0,1.0,1.17,1.34,5.5,1.39
5,1.85,1.6,1.67,1.0,1.22,1.85,10.0,1.35
6,2.1,2.73,6.67,1.73,1.48,3.21,10.0,5.21
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2.53,1.17,1.0,3.52,2.2,2.36,5.5,6.0
9,1.76,3.17,6.33,3.81,1.37,1.34,10.0,4.12
10,1.34,1.0,1.33,3.25,1.47,1.34,5.5,1.6
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,2.02,3.25,6.33,1.96,1.49,1.17,10.0,3.62
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,1.51,3.0,1.33,1.0,1.34,1.51,10.0,1.42
16,4.23,3.45,1.33,1.0,1.19,4.23,5.5,2.75
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,1.51,2.5,3.0,2.0,1.59,1.51,10.0,1.83
19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,5.92,1.0,1.67,1.39,1.33,5.92,5.5,3.18
22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,2.02,2.12,7.0,1.0,1.73,2.02,10.0,3.36
24,2.19,1.21,2.0,1.0,1.34,2.19,10.0,2.7
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.26
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,3.55,1.8,8.0,1.0,1.52,3.55,10.0,3.1
28,2.19,2.29,3.67,1.62,1.5,2.19,10.0,3.33
29,2.27,2.6,2.33,1.0,1.2,3.55,10.0,2.9
30,2.87,1.68,7.33,1.13,1.17,2.7,5.5,2.2
31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,3.04,1.62,5.67,2.95,1.53,2.87,10.0,4.37
33,3.04,1.62,1.0,1.0,1.2,3.04,5.5,1.64
34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15
35,1.17,1.0,1.33,1.0,1.42,1.17,10.0,1.38
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,2.44,1.71,3.67,1.0,1.28,3.89,10.0,2.14
38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,1.51,3.33,3.33,1.28,1.46,2.53,10.0,2.82
40,1.85,2.35,2.0,1.0,1.38,2.7,10.0,2.77
41,1.34,4.75,1.33,2.81,1.81,1.34,5.5,2.83
42,1.68,1.0,1.0,1.0,1.17,1.68,5.5,1.18
43,1.17,2.5,5.0,1.0,1.17,1.17,5.5,3.59
44,10.0,1.76,1.0,1.0,1.17,10.0,5.5,3.43
45,1.17,1.0,1.33,1.56,1.17,1.17,5.5,1.38
46,1.17,2.5,1.33,2.69,2.36,1.17,10.0,1.52
47,1.17,1.0,1.0,1.8,1.17,1.0,5.5,1.25
48,1.34,4.0,2.0,4.86,1.72,1.34,5.5,2.28
49,1.34,3.25,1.67,2.65,1.3,1.34,5.5,2.03
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84
52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,1.17,2.5,1.0,4.07,5.25,1.17,5.5,2.13
55,3.21,1.0,1.0,1.0,1.0,3.21,1.0,1.23
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,2.19,1.86,1.0,1.0,1.17,2.19,5.5,1.43
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,1.85,1.9,1.67,1.0,1.17,1.85,10.0,1.57
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,5.25,1.72,1.0,1.0,1.17,5.25,5.5,2.33
62,5.92,1.88,1.0,1.0,1.18,5.92,5.5,2.73
63,4.91,1.0,1.0,1.08,1.3,4.91,5.5,2.7
64,5.42,1.75,1.0,1.0,1.17,5.42,5.5,2.05
